key,values,condition_text,condition_code_polygons,condition_code_points,CODE US,Comment
leisure,all others,"NOT( ""access""=>""private"" OR ""garden:type""=>""residential"")","lambda x : not ( (x[""other_tags""] is not None) and ( ('""access""=>""private""' in x[""other_tags""]) or ('""garden:type""=>""residential""' in x[""other_tags""]) ) )","lambda x : not ( (x[""other_tags""] is not None) and ( ('""access""=>""private""' in x[""other_tags""]) or ('""garden:type""=>""residential""' in x[""other_tags""]) ) )",LU3,
military,any,,,,LU3,
office,any,,,,LU3,
shop,any,,,,LU3,
sport,any,,,,LU3,
tourism,any,,,,LU3,
"""attraction"", ""club"", ""museum"", ""vending_machine"",
""cuisine"", ""golf"", ""boules"", ""emergency"", ""government"", ""religion"", ""commercial"", ""cemetery"", ""fitness_station"",
""horse_riding"", ""hotel"", ""miniature_golf"", ""pitch"", ""zoo""",any,,,,LU3,
amenity,"'parking',                'parking_entrance',              'parking_space',
'taxi'",,,,LU4_1_1,
highway,all others,,,,LU4_1_1,
landuse,'railway',,,,LU4_1_2,
railway,"'rail', 'station', 'platform', 'halt'",,,,LU4_1_2,
aeroway,any,,,,LU4_1_3,
boat,'yes',,,,LU4_1_4,
landuse,'port',,,,LU4_1_4,
building,"'transformer_tower', 'water_tower'",amenity is None AND building:use is None,"lambda x : (x[""amenity""] is None) and ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""building:use""=>' not in x[""other_tags""]) ) )","lambda x : ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""amenity""=>' not in x[""other_tags""])  and ('""building:use""=>' not in x[""other_tags""])) )",LU4_3,The building key represents the original use of the building
building:use,"'transformer_tower', 'water_tower'",,,,LU4_3,
man_made,"'pumping_station', 'storage_tank', 'water_tower',
    'water_works', 'wastewater_plant'",,,,LU4_3,
building,"'apartments', 'house', 'residential', 'garage', 'garages', 'terrace', 'semidetached_house', 'hut', 'houseboat', 'shed', 'static_caravan'","lambda x : (x[""amenity""] is None) and ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""building:use""=>' not in x[""other_tags""]) ) )","lambda x : ( (x[""other_tags""] is None) or ( x[""other_tags""] is not None and ('""amenity""=>' not in x[""other_tags""])  and ('""building:use""=>' not in x[""other_tags""])) )",,LU5,The building key represents the original use of the building
building:use,"'apartments', 'house', 'residential', 'garage', 'garages','terrace', 'semidetached_house', 'hut', 'houseboat', 'shed', 'static_caravan'",,,,LU5,
landuse,"'allotments', 'residential'",,,,LU5_landuse,
leisure,all others,"""access""=>""private"" OR ""garden:type""=>""residential""","lambda x : (x[""other_tags""] is not None) and (
        ('""access""=>""private""' in x[""other_tags""]) or ('""garden:type""=>""residential""' in x[""other_tags""])
        )","lambda x : (x[""other_tags""] is not None) and (
        ('""access""=>""private""' in x[""other_tags""]) or ('""garden:type""=>""residential""' in x[""other_tags""])
        )",LU5,
"""community"", ""allotments""",any,,,,LU5,
building,'construction',,,,LU6_1,
landuse,'construction',,,,LU6_1,
landuse,'brownfield',,,,LU6_2,
abandoned:landuse,any,landuse is None,"lambda x : x[""landuse""] is None","lambda x : x[""other_tags""] is None or '""landuse""=>' not in x[""other_tags""]",LU6_2,
disused:landuse,any,,,,LU6_2,
*,"'abandoned', 'disused'",,,,LU6_2,
amenity,all others,,,,,to remove
leisure,'common',,,,,to remove
highway,"'footway', 'steps', 'service', 'cycleway', 'bridleway', 'path', 'corridor', 'via ferrata', 'proposed', 'construction'",,,,,to remove
